epoch,loss,val_loss,Model,Crypto,Data %,File
0,0.9779131412506104,0.019086318090558,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
1,0.1016620099544525,0.0210007317364215,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
2,0.0897624343633651,0.0103362938389182,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
3,0.0740672722458839,0.0232542566955089,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
4,0.0658330023288726,0.0333948992192745,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
5,0.0659172013401985,0.0229585096240043,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
6,0.0583830475807189,0.0337742492556571,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
7,0.0585840567946434,0.0097997728735208,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
8,0.0548204779624938,0.0124269127845764,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
9,0.0517804399132728,0.0084697902202606,CNN,BTC,0.1,cnn_btc_log_0_1pct.csv
0,42.17057037353516,214.43997192382807,CNN,BTC,10.0,cnn_btc_log_10pct.csv
1,9.103254318237305,109.00344848632812,CNN,BTC,10.0,cnn_btc_log_10pct.csv
2,8.655028343200684,82.6727066040039,CNN,BTC,10.0,cnn_btc_log_10pct.csv
3,8.139500617980957,84.98990631103516,CNN,BTC,10.0,cnn_btc_log_10pct.csv
4,7.532739162445068,146.84085083007812,CNN,BTC,10.0,cnn_btc_log_10pct.csv
5,6.654877185821533,94.77225494384766,CNN,BTC,10.0,cnn_btc_log_10pct.csv
6,5.702287197113037,387.9389953613281,CNN,BTC,10.0,cnn_btc_log_10pct.csv
7,4.893766403198242,170.74627685546875,CNN,BTC,10.0,cnn_btc_log_10pct.csv
0,0.3689343929290771,0.0139632727950811,CNN,BTC,1.0,cnn_btc_log_1pct.csv
1,0.0860060155391693,0.090515449643135,CNN,BTC,1.0,cnn_btc_log_1pct.csv
2,0.0845154449343681,0.0116943400353193,CNN,BTC,1.0,cnn_btc_log_1pct.csv
3,0.074352815747261,0.0255610775202512,CNN,BTC,1.0,cnn_btc_log_1pct.csv
4,0.0662239491939544,0.0316314324736595,CNN,BTC,1.0,cnn_btc_log_1pct.csv
5,0.0639933347702026,0.0229448284953832,CNN,BTC,1.0,cnn_btc_log_1pct.csv
6,0.0589008219540119,0.0208009127527475,CNN,BTC,1.0,cnn_btc_log_1pct.csv
7,0.0549848191440105,0.0208431780338287,CNN,BTC,1.0,cnn_btc_log_1pct.csv
0,24.92241096496582,0.7325910925865173,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
1,0.8545206785202026,0.2772382497787475,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
2,0.4210173189640045,0.1299075037240982,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
3,0.3994918763637543,0.1080208569765091,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
4,0.3571639358997345,0.1571204662322998,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
5,0.3411976993083954,0.0751998722553253,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
6,0.3248630464076996,0.0805241838097572,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
7,0.3030142784118652,0.071315512061119,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
8,0.3097286522388458,0.1373356431722641,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
9,0.2738049626350403,0.143302321434021,CNN,ETH,0.1,cnn_eth_log_0_1pct.csv
0,0.7259535193443298,0.2821214497089386,CNN,ETH,10.0,cnn_eth_log_10pct.csv
1,0.170992374420166,0.2011913359165191,CNN,ETH,10.0,cnn_eth_log_10pct.csv
2,0.1462739109992981,0.2275376915931701,CNN,ETH,10.0,cnn_eth_log_10pct.csv
3,0.1243057548999786,0.1891232579946518,CNN,ETH,10.0,cnn_eth_log_10pct.csv
4,0.1023629382252693,0.2959896028041839,CNN,ETH,10.0,cnn_eth_log_10pct.csv
5,0.074993684887886,0.1938469558954239,CNN,ETH,10.0,cnn_eth_log_10pct.csv
6,0.0585091114044189,0.3066858947277069,CNN,ETH,10.0,cnn_eth_log_10pct.csv
7,0.0528945699334144,0.9000402092933655,CNN,ETH,10.0,cnn_eth_log_10pct.csv
8,0.0486071482300758,0.3067470788955688,CNN,ETH,10.0,cnn_eth_log_10pct.csv
0,4.5789666175842285,0.1267872303724289,CNN,ETH,1.0,cnn_eth_log_1pct.csv
1,0.3497546315193176,0.1288729459047317,CNN,ETH,1.0,cnn_eth_log_1pct.csv
2,0.2614147365093231,0.0890887156128883,CNN,ETH,1.0,cnn_eth_log_1pct.csv
3,0.2331482917070388,0.0695950984954834,CNN,ETH,1.0,cnn_eth_log_1pct.csv
4,0.2276427596807479,0.0697667375206947,CNN,ETH,1.0,cnn_eth_log_1pct.csv
5,0.2173124402761459,0.0597602985799312,CNN,ETH,1.0,cnn_eth_log_1pct.csv
6,0.1965383291244506,0.0709315985441207,CNN,ETH,1.0,cnn_eth_log_1pct.csv
7,0.1925613582134246,0.0400019884109497,CNN,ETH,1.0,cnn_eth_log_1pct.csv
8,0.2040943950414657,0.0760169997811317,CNN,ETH,1.0,cnn_eth_log_1pct.csv
9,0.1807307749986648,0.0593779198825359,CNN,ETH,1.0,cnn_eth_log_1pct.csv
0,2.0565364360809326,0.0230653788894414,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
1,0.1680160462856292,0.018650185316801,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
2,0.1464017033576965,0.0063151628710329,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
3,0.13648222386837,0.005903196055442,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
4,0.1327172070741653,0.0159507095813751,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
5,0.1282844245433807,0.0088340751826763,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
6,0.1236192658543586,0.01095278467983,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
7,0.1225475147366523,0.0061811679042875,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
8,0.1216241642832756,0.0042414832860231,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
9,0.1219020709395408,0.0033479616977274,GRU,BTC,0.1,gru_btc_log_0_1pct.csv
0,730.560546875,414066.4375,GRU,BTC,10.0,gru_btc_log_10pct.csv
1,42.98412322998047,396212.09375,GRU,BTC,10.0,gru_btc_log_10pct.csv
2,39.503265380859375,394656.5,GRU,BTC,10.0,gru_btc_log_10pct.csv
3,37.1994514465332,387914.15625,GRU,BTC,10.0,gru_btc_log_10pct.csv
4,35.08190155029297,386603.90625,GRU,BTC,10.0,gru_btc_log_10pct.csv
5,33.457401275634766,387242.375,GRU,BTC,10.0,gru_btc_log_10pct.csv
6,31.806344985961918,388671.90625,GRU,BTC,10.0,gru_btc_log_10pct.csv
7,30.154415130615234,387057.0,GRU,BTC,10.0,gru_btc_log_10pct.csv
8,28.731098175048828,376639.28125,GRU,BTC,10.0,gru_btc_log_10pct.csv
9,27.598203659057617,375655.9375,GRU,BTC,10.0,gru_btc_log_10pct.csv
0,1.1837886571884155,0.11766317486763,GRU,BTC,1.0,gru_btc_log_1pct.csv
1,0.2792432308197021,0.0103520592674613,GRU,BTC,1.0,gru_btc_log_1pct.csv
2,0.2562220692634582,0.0057823220267891,GRU,BTC,1.0,gru_btc_log_1pct.csv
3,0.2323889881372451,0.0084884176030755,GRU,BTC,1.0,gru_btc_log_1pct.csv
4,0.2156303226947784,0.006322341505438,GRU,BTC,1.0,gru_btc_log_1pct.csv
5,0.192476212978363,0.0091615933924913,GRU,BTC,1.0,gru_btc_log_1pct.csv
6,0.1820425242185592,0.0045985747128725,GRU,BTC,1.0,gru_btc_log_1pct.csv
7,0.1650753170251846,0.0608195811510086,GRU,BTC,1.0,gru_btc_log_1pct.csv
8,0.1481278389692306,0.0038908743299543,GRU,BTC,1.0,gru_btc_log_1pct.csv
9,0.1367889493703842,0.0094213197007775,GRU,BTC,1.0,gru_btc_log_1pct.csv
0,45.29627227783203,2.434136152267456,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
1,1.0288872718811035,0.0944450721144676,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
2,0.7098590731620789,0.2131736874580383,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
3,0.617401659488678,0.177993431687355,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
4,0.5987344980239868,0.1448674649000167,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
5,0.62813401222229,0.0987101644277572,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
6,0.6243473887443542,0.0642283335328102,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
7,0.5901136994361877,0.0452279709279537,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
8,0.5590124130249023,0.0696360617876052,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
9,0.5721898078918457,0.0658414959907531,GRU,ETH,0.1,gru_eth_log_0_1pct.csv
0,2.5297634601593018,469.00433349609375,GRU,ETH,10.0,gru_eth_log_10pct.csv
1,0.6505208611488342,399.3810729980469,GRU,ETH,10.0,gru_eth_log_10pct.csv
2,0.575981616973877,381.982177734375,GRU,ETH,10.0,gru_eth_log_10pct.csv
3,0.4940868616104126,369.0504455566406,GRU,ETH,10.0,gru_eth_log_10pct.csv
4,0.424582839012146,352.7607116699219,GRU,ETH,10.0,gru_eth_log_10pct.csv
5,0.3625448942184448,331.5243835449219,GRU,ETH,10.0,gru_eth_log_10pct.csv
6,0.30983567237854,322.3760986328125,GRU,ETH,10.0,gru_eth_log_10pct.csv
7,0.258883535861969,304.0323181152344,GRU,ETH,10.0,gru_eth_log_10pct.csv
8,0.219260960817337,293.42041015625,GRU,ETH,10.0,gru_eth_log_10pct.csv
9,0.1820470690727234,275.15673828125,GRU,ETH,10.0,gru_eth_log_10pct.csv
0,7.6916961669921875,0.3228841423988342,GRU,ETH,1.0,gru_eth_log_1pct.csv
1,0.8031289577484131,0.1613629609346389,GRU,ETH,1.0,gru_eth_log_1pct.csv
2,0.718836784362793,0.0852530822157859,GRU,ETH,1.0,gru_eth_log_1pct.csv
3,0.6850069761276245,0.0119418585672974,GRU,ETH,1.0,gru_eth_log_1pct.csv
4,0.6760719418525696,0.0453187972307205,GRU,ETH,1.0,gru_eth_log_1pct.csv
5,0.6596378087997437,0.0395164191722869,GRU,ETH,1.0,gru_eth_log_1pct.csv
6,0.6422943472862244,0.017705475911498,GRU,ETH,1.0,gru_eth_log_1pct.csv
7,0.642754077911377,0.0181249156594276,GRU,ETH,1.0,gru_eth_log_1pct.csv
8,0.6392040848731995,0.0149260004982352,GRU,ETH,1.0,gru_eth_log_1pct.csv
0,1.2899432182312012,0.0159466508775949,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
1,0.2252320200204849,0.0153496572747826,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
2,0.1891189813613891,0.0094543928280472,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
3,0.1651777774095535,0.0058705103583633,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
4,0.1572163552045822,0.0271672699600458,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
5,0.154860645532608,0.0063433130271732,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
6,0.1406919509172439,0.004797248635441,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
