Type,Crypto,Data %,Min Val Loss,Epoch (Min Val Loss),Final Val Loss,Epochs Run,File
CNN,BTC,0.1,0.0084697902202606,9,0.0084697902202606,10,cnn_btc_log_0_1pct.csv
CNN,BTC,1.0,0.0116943400353193,2,0.0208431780338287,8,cnn_btc_log_1pct.csv
CNN,BTC,10.0,82.6727066040039,2,170.74627685546875,8,cnn_btc_log_10pct.csv
CNN,ETH,0.1,0.071315512061119,7,0.143302321434021,10,cnn_eth_log_0_1pct.csv
CNN,ETH,1.0,0.0400019884109497,7,0.0593779198825359,10,cnn_eth_log_1pct.csv
CNN,ETH,10.0,0.1891232579946518,3,0.3067470788955688,9,cnn_eth_log_10pct.csv
GRU,BTC,0.1,0.0033479616977274,9,0.0033479616977274,10,gru_btc_log_0_1pct.csv
GRU,BTC,1.0,0.0038908743299543,8,0.0094213197007775,10,gru_btc_log_1pct.csv
GRU,BTC,10.0,375655.9375,9,375655.9375,10,gru_btc_log_10pct.csv
GRU,ETH,0.1,0.0452279709279537,7,0.0658414959907531,10,gru_eth_log_0_1pct.csv
GRU,ETH,1.0,0.0119418585672974,3,0.0149260004982352,9,gru_eth_log_1pct.csv
GRU,ETH,10.0,275.15673828125,9,275.15673828125,10,gru_eth_log_10pct.csv
RNN,BTC,0.1,0.0041855867020785,9,0.0041855867020785,10,rnn_btc_log_0_1pct.csv
RNN,BTC,1.0,0.0037744641304016,9,0.0037744641304016,10,rnn_btc_log_1pct.csv
RNN,BTC,10.0,182283.40625,9,182283.40625,10,rnn_btc_log_10pct.csv
RNN,ETH,0.1,0.0451741777360439,8,0.0464350804686546,10,rnn_eth_log_0_1pct.csv
RNN,ETH,1.0,0.0105091650038957,5,0.0331691540777683,10,rnn_eth_log_1pct.csv
RNN,ETH,10.0,267.27801513671875,9,267.27801513671875,10,rnn_eth_log_10pct.csv
TRANSFORMER,BTC,0.1,0.1223317012190818,9,0.1223317012190818,10,transformer_btc_log_0_1pct.csv
TRANSFORMER,BTC,1.0,0.4944014251232147,5,0.6879681944847107,10,transformer_btc_log_1pct.csv
TRANSFORMER,BTC,10.0,124478.0,2,135073.734375,8,transformer_btc_log_10pct.csv
TRANSFORMER,ETH,0.1,0.3943721354007721,2,0.9930453300476074,8,transformer_eth_log_0_1pct.csv
TRANSFORMER,ETH,1.0,0.8342796564102173,0,1.628232479095459,6,transformer_eth_log_1pct.csv
TRANSFORMER,ETH,10.0,303.6116943359375,2,454.2259216308594,8,transformer_eth_log_10pct.csv
