Date,Actual,Predicted
2012-08-28 02:48:00+00:00,10.78,11.751763
2012-08-28 02:49:00+00:00,10.78,11.745601
2012-08-28 02:50:00+00:00,10.78,11.739201
2012-08-28 02:51:00+00:00,10.9,11.732645
2012-08-28 04:08:00+00:00,10.9,11.724002
2012-08-28 04:09:00+00:00,10.9,11.722534
2012-08-28 04:10:00+00:00,10.9,11.721136
2012-08-28 04:11:00+00:00,10.9,11.719301
2012-08-28 04:12:00+00:00,10.9,11.720389
2012-08-28 04:13:00+00:00,10.9,11.721039
2012-08-28 04:14:00+00:00,10.9,11.721062
2012-08-28 04:15:00+00:00,10.9,11.718816
2012-08-28 04:16:00+00:00,10.9,11.715062
2012-08-28 04:17:00+00:00,10.9,11.716896
2012-08-28 04:18:00+00:00,10.91,11.714197
2012-08-28 06:26:00+00:00,10.91,11.703963
2012-08-28 06:27:00+00:00,10.91,11.713089
2012-08-28 06:28:00+00:00,10.91,11.715498
2012-08-28 06:29:00+00:00,10.9,11.720772
2012-08-28 06:30:00+00:00,10.9,11.72883
2012-08-28 06:31:00+00:00,10.9,11.732302
2012-08-28 06:32:00+00:00,10.88,11.734714
2012-08-28 06:33:00+00:00,10.88,11.735016
2012-08-28 06:34:00+00:00,10.88,11.726873
2012-08-28 06:35:00+00:00,10.88,11.733452
2012-08-28 06:36:00+00:00,10.88,11.738039
2012-08-28 06:37:00+00:00,10.88,11.743375
2012-08-28 06:38:00+00:00,10.91,11.749766
2012-08-28 06:39:00+00:00,10.91,11.756323
2012-08-28 06:40:00+00:00,11.13,11.774465
2012-08-28 06:41:00+00:00,10.91,11.794061
2012-08-28 06:42:00+00:00,11.12,11.832296
2012-08-28 06:43:00+00:00,11.12,11.851797
2012-08-28 06:44:00+00:00,10.93,12.001213
2012-08-28 06:45:00+00:00,10.92,12.060278
2012-08-28 06:46:00+00:00,10.92,12.068559
2012-08-28 06:47:00+00:00,10.94,12.079377
2012-08-28 06:48:00+00:00,10.93,11.992941
2012-08-28 06:49:00+00:00,10.93,12.001105
2012-08-28 06:50:00+00:00,10.92,12.008486
2012-08-28 06:51:00+00:00,10.92,11.974813
2012-08-28 06:52:00+00:00,10.92,11.973885
2012-08-28 06:53:00+00:00,10.93,11.925203
2012-08-28 06:54:00+00:00,10.93,11.8984165
2012-08-28 06:55:00+00:00,10.93,11.88911
2012-08-28 06:56:00+00:00,10.92,11.878004
2012-08-28 06:57:00+00:00,10.92,11.873383
2012-08-28 06:58:00+00:00,10.92,11.874704
2012-08-28 06:59:00+00:00,10.94,11.867225
2012-08-28 07:00:00+00:00,10.92,11.859398
2012-08-28 07:01:00+00:00,10.92,11.864418
2012-08-28 07:02:00+00:00,10.92,11.86665
2012-08-28 07:03:00+00:00,10.97,11.863552
2012-08-28 07:04:00+00:00,10.97,11.872343
2012-08-28 07:05:00+00:00,10.92,11.934442
2012-08-28 07:06:00+00:00,10.93,11.965794
2012-08-28 07:07:00+00:00,10.93,11.962597
2012-08-28 07:08:00+00:00,10.88,11.981442
2012-08-28 07:09:00+00:00,10.88,12.006229
2012-08-28 07:10:00+00:00,10.88,11.999015
2012-08-28 07:11:00+00:00,10.89,12.004041
2012-08-28 07:12:00+00:00,10.88,12.003401
2012-08-28 07:13:00+00:00,10.88,12.010178
2012-08-28 07:14:00+00:00,10.9,11.981757
2012-08-28 07:15:00+00:00,10.88,11.938536
2012-08-28 07:16:00+00:00,10.88,11.950851
2012-08-28 07:17:00+00:00,10.89,11.952151
2012-08-28 07:18:00+00:00,10.88,11.933327
2012-08-28 07:19:00+00:00,10.88,11.933258
2012-08-28 07:20:00+00:00,10.9,11.929338
2012-08-28 07:21:00+00:00,10.88,11.907826
2012-08-28 07:22:00+00:00,10.88,11.91707
2012-08-28 07:23:00+00:00,10.88,11.90934
2012-08-28 07:24:00+00:00,10.88,11.902379
2012-08-28 07:25:00+00:00,10.88,11.900792
2012-08-28 07:26:00+00:00,10.91,11.899141
2012-08-28 07:27:00+00:00,10.88,11.889972
2012-08-28 07:28:00+00:00,10.88,11.905333
2012-08-28 07:29:00+00:00,10.89,11.895057
2012-08-28 07:30:00+00:00,10.88,11.881234
2012-08-28 07:31:00+00:00,10.88,11.8791275
2012-08-28 07:32:00+00:00,10.9,11.881104
2012-08-28 07:33:00+00:00,10.89,11.877663
2012-08-28 07:34:00+00:00,10.89,11.886783
2012-08-28 07:35:00+00:00,10.91,11.846536
2012-08-28 07:36:00+00:00,10.88,11.803298
2012-08-28 07:37:00+00:00,10.88,11.818907
2012-08-28 07:38:00+00:00,10.88,11.814014
2012-08-28 07:39:00+00:00,10.88,11.795822
2012-08-28 07:40:00+00:00,10.88,11.794823
2012-08-28 07:41:00+00:00,10.88,11.7857
2012-08-28 07:42:00+00:00,10.88,11.773484
2012-08-28 07:43:00+00:00,10.88,11.7674885
2012-08-28 07:44:00+00:00,10.89,11.765157
2012-08-28 07:45:00+00:00,10.88,11.768686
