,0
Start,50273.0
End,62833.0
Duration,12560.0
Exposure Time [%],82.80391688559828
Equity Final [$],1347767.855989999
Equity Peak [$],1347767.855989999
Return [%],1247.767855989999
Buy & Hold Return [%],9.369202226345081
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],1244.6109071704134
Beta,0.33694958688250237
Max. Drawdown [%],-5.5461361365304995
Avg. Drawdown [%],-1.0371690428107223
Max. Drawdown Duration,412.0
Avg. Drawdown Duration,48.15263157894737
# Trades,1068.0
Win Rate [%],47.940074906367045
Best Trade [%],5.587668593448947
Worst Trade [%],-4.055299539170498
Avg. Trade [%],0.24384400099850545
Max. Trade Duration,111.0
Avg. Trade Duration,9.453183520599252
Profit Factor,2.16601605800272
Expectancy [%],0.24841464060716922
SQN,8.237268973094043
Kelly Criterion,0.13345785390500642
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
50273  1.000000e+05          0.0               NaN
50274  1.000000e+05          0.0               NaN
50275  1.000000e+05          0.0               NaN
50276  1.000000e+05          0.0               NaN
50277  1.000000e+05          0.0               NaN
...             ...          ...               ...
62829  1.347768e+06          0.0               NaN
62830  1.347768e+06          0.0               NaN
62831  1.347768e+06          0.0               NaN
62832  1.347768e+06          0.0               NaN
62833  1.347768e+06          0.0               NaN

[12561 rows x 3 columns]"
_trades,"        Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0       8992        32       33       11.12      11.12  10.87727  None   
1      -8992        33       35       11.12      10.93  11.15336  None   
2       9305        35       50       10.93      10.93  10.89721  None   
3      -9305        50       51       10.93      10.92  10.97282  None   
4       9322        51       54       10.92      10.97  10.88724  None   
...      ...       ...      ...         ...        ...       ...   ...   
1063 -109822     12513    12516       11.99      11.99  12.02597  None   
1064  109822     12516    12523       11.99      11.94       NaN  None   
1065  110469     12525    12536       11.87      11.83       NaN  None   
1066  110563     12537    12540       11.82      11.99  11.78454  None   
1067 -110563     12540    12553       11.99      11.79  12.02597  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0         0.00   0.000000      50305     50306         1  None  
1      1708.48   0.017086      50306     50308         2  None  
2         0.00   0.000000      50308     50323        15  None  
3        93.05   0.000915      50323     50324         1  None  
4       466.10   0.004579      50324     50327         3  None  
...        ...        ...        ...       ...       ...   ...  
1063     -0.00  -0.000000      62786     62789         3  None  
1064  -5491.10  -0.004170      62789     62796         7  None  
1065  -4418.76  -0.003370      62798     62809        11  None  
1066  18795.71   0.014382      62810     62813         3  None  
1067  22112.60   0.016681      62813     62826        13  None  

[1068 rows x 13 columns]"
