,0
Start,0.0
End,12560.0
Duration,12560.0
Exposure Time [%],95.84427991401958
Equity Final [$],360652.65905999986
Equity Peak [$],385197.7406199996
Return [%],260.6526590599999
Buy & Hold Return [%],9.369202226345081
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],254.57813679402128
Beta,0.648350000269799
Max. Drawdown [%],-6.541488259399375
Avg. Drawdown [%],-1.4639564886429242
Max. Drawdown Duration,1243.0
Avg. Drawdown Duration,89.25
# Trades,1235.0
Win Rate [%],37.81376518218624
Best Trade [%],5.587668593448947
Worst Trade [%],-4.055299539170498
Avg. Trade [%],0.10392341625522494
Max. Trade Duration,227.0
Avg. Trade Duration,9.42672064777328
Profit Factor,1.4201464438399114
Expectancy [%],0.1084285792016239
SQN,3.3312369299693403
Kelly Criterion,-0.14726566641859212
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
0      100000.00000     0.000000               NaN
1      100000.00000     0.000000               NaN
2      100000.00000     0.000000               NaN
3      100000.00000     0.000000               NaN
4      100000.00000     0.000000               NaN
...             ...          ...               ...
12556  360652.65906     0.063721               NaN
12557  360652.65906     0.063721               NaN
12558  360652.65906     0.063721               NaN
12559  360652.65906     0.063721               NaN
12560  360652.65906     0.063721            1243.0

[12561 rows x 3 columns]"
_trades,"       Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP         PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag
0      9174        10       31       10.90   10.97000  10.86730  None   642.18000   0.006422         10        31        21  None
1     -9174        31       32       10.97   11.12000  11.16339  None -1376.10000  -0.013674         31        32         1  None
2      8926        32       33       11.12   11.12000  10.87727  None     0.00000   0.000000         32        33         1  None
3     -8926        33       35       11.12   10.93000  11.15336  None  1695.94000   0.017086         33        35         2  None
4      9237        35       58       10.93   10.89721       NaN  None  -302.88123  -0.003000         35        58        23  None
...     ...       ...      ...         ...        ...       ...   ...         ...        ...        ...       ...       ...   ...
1230  30552     12524    12524       11.99   11.87427       NaN  None -3535.78296  -0.009652      12524     12524         0  None
1231  30563     12525    12536       11.87   11.83000       NaN  None -1222.52000  -0.003370      12525     12536        11  None
1232  30589     12538    12540       11.82   11.99000  11.78454  None  5200.13000   0.014382      12538     12540         2  None
1233 -30589     12540    12544       11.99   11.99000  12.02597  None    -0.00000  -0.000000      12540     12544         4  None
1234  30589     12544    12552       11.99   11.79000       NaN  None -6117.80000  -0.016681      12544     12552         8  None

[1235 rows x 13 columns]"
