,0
Start,0.0
End,272.0
Duration,272.0
Exposure Time [%],84.98168498168498
Equity Final [$],111796.32510000003
Equity Peak [$],115765.32510000002
Return [%],11.79632510000003
Buy & Hold Return [%],-8.068902991840424
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],15.491465462190732
Beta,0.4579482943254324
Max. Drawdown [%],-3.80943084312213
Avg. Drawdown [%],-2.4904383345854124
Max. Drawdown Duration,76.0
Avg. Drawdown Duration,48.0
# Trades,17.0
Win Rate [%],29.411764705882355
Best Trade [%],7.345739471106749
Worst Trade [%],-2.7619047619047543
Avg. Trade [%],0.63471867141347
Max. Trade Duration,40.0
Avg. Trade Duration,13.117647058823529
Profit Factor,2.177314404476408
Expectancy [%],0.6692959120661878
SQN,0.9827991287760295
Kelly Criterion,0.10783676625104127
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"          Equity  DrawdownPct  DrawdownDuration
0    100000.0000     0.000000               NaN
1    100000.0000     0.000000               NaN
2    100000.0000     0.000000               NaN
3    100000.0000     0.000000               NaN
4    100000.0000     0.000000               NaN
..           ...          ...               ...
268  111796.3251     0.034285               NaN
269  111796.3251     0.034285               NaN
270  111796.3251     0.034285               NaN
271  111796.3251     0.034285               NaN
272  111796.3251     0.034285              52.0

[273 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP         PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag
0    9066         2       42       11.03   10.99691       NaN  None  -299.99394  -0.003000          2        42        40  None
1    9146        43       48       10.90   10.86730       NaN  None  -299.07420  -0.003000         43        48         5  None
2    9466        49       62       10.50   10.21000       NaN  None -2745.14000  -0.027619         49        62        13  None
3    9466        63       88       10.21   10.96000  10.17937  None  7099.50000   0.073457         63        88        25  None
4   -9466        88       91       10.96   10.96000  10.99288  None    -0.00000  -0.000000         88        91         3  None
5    9466        91       99       10.96   10.85000       NaN  None -1041.26000  -0.010036         91        99         8  None
6    9754       112      123       10.53   10.40000       NaN  None -1268.02000  -0.012346        112       123        11  None
7    9754       124      136       10.40   10.98000  10.36880  None  5657.32000   0.055769        124       136        12  None
8   -9754       136      137       10.98   10.98000  11.01294  None    -0.00000  -0.000000        136       137         1  None
9    9754       137      145       10.98   10.94706       NaN  None  -321.29676  -0.003000        137       145         8  None
10  10083       146      172       10.59   10.69000  10.55823  None  1008.30000   0.009443        146       172        26  None
11 -10083       172      175       10.69   10.69000  10.72207  None    -0.00000  -0.000000        172       175         3  None
12  10083       175      186       10.69   10.98000  10.65793  None  2924.07000   0.027128        175       186        11  None
13 -10083       186      198       10.98   10.49000  11.01294  None  4940.67000   0.044627        186       198        12  None
14  11025       198      221       10.49   10.35000       NaN  None -1543.50000  -0.013346        198       221        23  None
15  11025       222      233       10.35   10.20000       NaN  None -1653.75000  -0.014493        222       233        11  None
16  11025       234      245       10.20   10.10000       NaN  None -1102.50000  -0.009804        234       245        11  None"
