,0
Start,126750.0
End,158430.0
Duration,31680.0
Exposure Time [%],98.98361794135286
Equity Final [$],667106.0799800002
Equity Peak [$],676637.7999800001
Return [%],567.1060799800001
Buy & Hold Return [%],77.13288239144667
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],507.338530934976
Beta,0.774864716473396
Max. Drawdown [%],-6.6447379791301
Avg. Drawdown [%],-0.8197137355907818
Max. Drawdown Duration,5705.0
Avg. Drawdown Duration,102.1744966442953
# Trades,438.0
Win Rate [%],29.908675799086758
Best Trade [%],28.878583473861717
Worst Trade [%],-1.32208798723501
Avg. Trade [%],0.43376887128445674
Max. Trade Duration,7926.0
Avg. Trade Duration,70.94292237442923
Profit Factor,3.2266314558407814
Expectancy [%],0.4543894122293845
SQN,4.862910265782806
Kelly Criterion,0.20937649322912516
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"              Equity  DrawdownPct  DrawdownDuration
126750  100000.00000     0.000000               NaN
126751  100000.00000     0.000000               NaN
126752  100000.00000     0.000000               NaN
126753  100152.67000     0.000000               NaN
126754  100152.67000     0.000000               NaN
...              ...          ...               ...
158426  667106.07998     0.014087               NaN
158427  667106.07998     0.014087               NaN
158428  667106.07998     0.014087               NaN
158429  667106.07998     0.014087               NaN
158430  667106.07998     0.014087             151.0

[31681 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0    2181         2       50       45.83   45.69251       NaN  None   
1    2174        51       70       45.86   45.72242       NaN  None   
2    2176        71       81       45.66   45.52302       NaN  None   
3    2160        82       95       45.87   45.73239       NaN  None   
4    2166        96      108       45.61   45.47317       NaN  None   
..    ...       ...      ...         ...        ...       ...   ...   
433  7972     31447    31449       81.03   81.69000  80.78691  None   
434 -7972     31449    31451       81.69   81.77000  81.93507  None   
435  7956     31451    31453       81.77   82.64000  81.52469  None   
436 -7956     31453    31454       82.64   81.37000  82.88792  None   
437  8204     31454    31458       81.37   81.12589       NaN  None   

             PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0     -299.86569  -0.003000     126752    126800        48  None  
1     -299.09892  -0.003000     126801    126820        19  None  
2     -298.06848  -0.003000     126821    126831        10  None  
3     -297.23760  -0.003000     126832    126845        13  None  
4     -296.37378  -0.003000     126846    126858        12  None  
..           ...        ...        ...       ...       ...   ...  
433   5261.52000   0.008145     158197    158199         2  None  
434   -637.76000  -0.000979     158199    158201         2  None  
435   6921.72000   0.010640     158201    158203         2  None  
436  10104.12000   0.015368     158203    158204         1  None  
437  -2002.67844  -0.003000     158204    158208         4  None  

[438 rows x 13 columns]"
