,0
Start,0.0
End,27885.0
Duration,27885.0
Exposure Time [%],71.86043175787134
Equity Final [$],9483023855.557878
Equity Peak [$],9483023855.557878
Return [%],9482923.85555788
Buy & Hold Return [%],171.50595882990248
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],9482891.321378175
Beta,0.1896970806553574
Max. Drawdown [%],-7.03421961169931
Avg. Drawdown [%],-0.5776761157556904
Max. Drawdown Duration,662.0
Avg. Drawdown Duration,29.663129973474803
# Trades,3225.0
Win Rate [%],51.47286821705427
Best Trade [%],13.558937088348856
Worst Trade [%],-1.2823081546784132
Avg. Trade [%],0.35597975734271703
Max. Trade Duration,111.0
Avg. Trade Duration,5.830387596899225
Profit Factor,3.9425987466370733
Expectancy [%],0.36072523466108836
SQN,10.586696818778206
Kelly Criterion,0.2569764848916141
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
0      1.000000e+05       0.0000               NaN
1      1.000000e+05       0.0000               NaN
2      1.000000e+05       0.0000               NaN
3      1.000000e+05       0.0000               NaN
4      1.000000e+05       0.0000               NaN
...             ...          ...               ...
27881  9.456535e+09       0.0024               NaN
27882  9.456535e+09       0.0024               NaN
27883  9.456535e+09       0.0024               NaN
27884  9.483024e+09       0.0000              34.0
27885  9.483024e+09       0.0000               NaN

[27886 rows x 3 columns]"
_trades,"           Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0          5470        17       25       18.28   18.22516       NaN  None   
1          5508        26       36       18.10   18.04570       NaN  None   
2          5522        37       48       18.00   18.60000  17.94600  None   
3         -5522        48       51       18.60   18.65580       NaN  None   
4          5589        53       57       18.32   18.36000  18.26504  None   
...         ...       ...      ...         ...        ...       ...   ...   
3220 -189094152     27842    27858       50.12   50.12000  50.27036  None   
3221  189094152     27858    27868       50.12   49.96964       NaN  None   
3222  189206381     27869    27871       49.94   49.98000  49.79018  None   
3223 -189206381     27871    27873       49.98   49.98000  50.12994  None   
3224  189206381     27873    27885       49.98   50.12000  49.83006  None   

               PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0    -2.999748e+02  -0.003000         17        25         8  None  
1    -2.990844e+02  -0.003000         26        36        10  None  
2     3.313200e+03   0.033333         37        48        11  None  
3    -3.081276e+02  -0.003000         48        51         3  None  
4     2.235600e+02   0.002183         53        57         4  None  
...            ...        ...        ...       ...       ...   ...  
3220 -0.000000e+00  -0.000000      27842     27858        16  None  
3221 -2.843220e+07  -0.003000      27858     27868        10  None  
3222  7.568255e+06   0.000801      27869     27871         2  None  
3223 -0.000000e+00  -0.000000      27871     27873         2  None  
3224  2.648889e+07   0.002801      27873     27885        12  None  

[3225 rows x 13 columns]"
