,0
Start,2012-01-31 10:45:00+00:00
End,2014-02-06 14:02:00+00:00
Duration,737 days 03:17:00
Exposure Time [%],34.23782438338113
Equity Final [$],63.115199999441074
Equity Peak [$],171669.19
Return [%],-99.93688480000056
Buy & Hold Return [%],13444.561403508771
Return (Ann.) [%],-97.4768619106606
Volatility (Ann.) [%],9.181295477434086
CAGR [%],-97.396502285362
Sharpe Ratio,-10.616896292058193
Sortino Ratio,-0.7714479979516102
Calmar Ratio,-0.975127073579439
Alpha [%],-823.1411303450404
Beta,0.05379158336517378
Max. Drawdown [%],-99.96324022965365
Avg. Drawdown [%],-14.363639437361336
Max. Drawdown Duration,734 days 09:39:00
Avg. Drawdown Duration,66 days 23:41:00
# Trades,107838
Win Rate [%],14.954839666907768
Best Trade [%],80.0
Worst Trade [%],-31.53153153153153
Avg. Trade [%],-0.0073407371109945885
Max. Trade Duration,1 days 02:58:00
Avg. Trade Duration,0 days 00:06:00
Profit Factor,0.958496337550056
Expectancy [%],-0.004430040227018648
SQN,-0.9707163762557441
Kelly Criterion,-0.7087630124311117
_strategy,CoinTossStrategy(stop_loss_pct=0.03)
_equity_curve,"                                Equity  DrawdownPct  DrawdownDuration
date                                                                 
2012-01-31 10:45:00+00:00  100000.0000     0.000000               NaT
2012-01-31 10:46:00+00:00  100000.0000     0.000000               NaT
2012-01-31 10:47:00+00:00  100000.0000     0.000000               NaT
2012-01-31 10:48:00+00:00  100000.0000     0.000000               NaT
2012-01-31 10:49:00+00:00  100000.0000     0.000000               NaT
...                                ...          ...               ...
2014-02-06 13:58:00+00:00      63.1152     0.999632               NaT
2014-02-06 13:59:00+00:00      63.1152     0.999632               NaT
2014-02-06 14:00:00+00:00      63.1152     0.999632               NaT
2014-02-06 14:01:00+00:00      63.1152     0.999632               NaT
2014-02-06 14:02:00+00:00      63.1152     0.999632 734 days 09:39:00

[628346 rows x 3 columns]"
_trades,"         Size  EntryBar  ExitBar  EntryPrice  ExitPrice      SL    TP     PnL  \
0      -17543         1        2        5.70     5.7000   5.871  None -0.0000   
1       17543         2        5        5.70     5.7000   5.529  None  0.0000   
2      -17543         5        6        5.70     5.7000   5.871  None -0.0000   
3       17543         6        9        5.70     5.7000   5.529  None  0.0000   
4      -17543         9       10        5.70     5.7000   5.871  None -0.0000   
...       ...       ...      ...         ...        ...     ...   ...     ...   
107833      1    322248   322249       66.00    66.5000  64.020  None  0.5000   
107834     -1    322249   322253       66.50    65.6300  68.495  None  0.8700   
107835      1    322253   322254       65.63    63.6611     NaN  None -1.9689   
107836     -1    322254   322255       63.33    66.1500     NaN  None -2.8200   
107837     -1    322794   322796       64.00    64.8900  65.920  None -0.8900   

        ReturnPct                 EntryTime                  ExitTime  \
0       -0.000000 2012-01-31 10:46:00+00:00 2012-01-31 10:47:00+00:00   
1        0.000000 2012-01-31 10:47:00+00:00 2012-01-31 10:50:00+00:00   
2       -0.000000 2012-01-31 10:50:00+00:00 2012-01-31 10:51:00+00:00   
3        0.000000 2012-01-31 10:51:00+00:00 2012-01-31 10:54:00+00:00   
4       -0.000000 2012-01-31 10:54:00+00:00 2012-01-31 10:55:00+00:00   
...           ...                       ...                       ...   
107833   0.007576 2013-07-05 21:30:00+00:00 2013-07-05 21:31:00+00:00   
107834   0.013083 2013-07-05 21:31:00+00:00 2013-07-05 21:35:00+00:00   
107835  -0.030000 2013-07-05 21:35:00+00:00 2013-07-05 21:36:00+00:00   
107836  -0.044529 2013-07-05 21:36:00+00:00 2013-07-05 21:37:00+00:00   
107837  -0.013906 2013-07-06 06:36:00+00:00 2013-07-06 06:38:00+00:00   

              Duration   Tag  
0      0 days 00:01:00  None  
1      0 days 00:03:00  None  
2      0 days 00:01:00  None  
3      0 days 00:03:00  None  
4      0 days 00:01:00  None  
...                ...   ...  
107833 0 days 00:01:00  None  
107834 0 days 00:04:00  None  
107835 0 days 00:01:00  None  
107836 0 days 00:01:00  None  
107837 0 days 00:02:00  None  

[107838 rows x 13 columns]"
