,0
Start,0.0
End,139458.0
Duration,139458.0
Exposure Time [%],99.99856588674808
Equity Final [$],4619549.34499995
Equity Peak [$],12663147.03499993
Return [%],4519.54934499995
Buy & Hold Return [%],411.9509703779367
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],4551.568911962855
Beta,-0.07772664531783767
Max. Drawdown [%],-77.98533717128313
Avg. Drawdown [%],-5.046323800765551
Max. Drawdown Duration,35397.0
Avg. Drawdown Duration,613.4035874439462
# Trades,69914.0
Win Rate [%],13.094659152673286
Best Trade [%],19.248466257668717
Worst Trade [%],-47.0
Avg. Trade [%],0.005482422640601392
Max. Trade Duration,17.0
Avg. Trade Duration,1.9946791772749377
Profit Factor,1.0801482944539316
Expectancy [%],0.008168982311496145
SQN,0.6626609622550896
Kelly Criterion,-0.7374176665184266
_strategy,CoinTossStrategy(stop_loss_pct=0.03)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
0        100000.000     0.000000               NaN
1        100000.000     0.000000               NaN
2        100000.000     0.000000               NaN
3        100000.000     0.000000               NaN
4        100000.000     0.000000               NaN
...             ...          ...               ...
139454  4606645.685     0.636216               NaN
139455  4606645.685     0.636216               NaN
139456  4606645.685     0.636216               NaN
139457  4619549.345     0.635197               NaN
139458  4619549.345     0.635197           17893.0

[139459 rows x 3 columns]"
_trades,"        Size  EntryBar  ExitBar  EntryPrice  ExitPrice       SL    TP  \
0     -10214         1        2        9.79       9.79  10.0837  None   
1      10214         2        5        9.79       9.79   9.4963  None   
2     -10214         5        6        9.79       9.79  10.0837  None   
3      10214         6        9        9.79       9.57   9.4963  None   
4     -10214         9       10        9.57       9.55   9.8571  None   
...      ...       ...      ...         ...        ...      ...   ...   
69909  92169    139442   139446       49.94      49.98  48.4418  None   
69910 -92169    139446   139447       49.98      49.98  51.4794  None   
69911  92169    139447   139448       49.98      49.98  48.4806  None   
69912 -92169    139448   139455       49.98      49.98  51.4794  None   
69913  92169    139455   139457       49.98      50.12  48.4806  None   

            PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0         -0.00  -0.000000          1         2         1  None  
1          0.00   0.000000          2         5         3  None  
2         -0.00  -0.000000          5         6         1  None  
3      -2247.08  -0.022472          6         9         3  None  
4        204.28   0.002090          9        10         1  None  
...         ...        ...        ...       ...       ...   ...  
69909   3686.76   0.000801     139442    139446         4  None  
69910     -0.00  -0.000000     139446    139447         1  None  
69911      0.00   0.000000     139447    139448         1  None  
69912     -0.00  -0.000000     139448    139455         7  None  
69913  12903.66   0.002801     139455    139457         2  None  

[69914 rows x 13 columns]"
