,0
Start,50273.0
End,62833.0
Duration,12560.0
Exposure Time [%],82.55712124830825
Equity Final [$],1615039.6886899974
Equity Peak [$],1641447.6017199974
Return [%],1515.0396886899975
Buy & Hold Return [%],9.369202226345081
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],1512.1188672928408
Beta,0.3117470758549438
Max. Drawdown [%],-5.627528798622194
Avg. Drawdown [%],-0.9331139524785645
Max. Drawdown Duration,439.0
Avg. Drawdown Duration,44.67307692307692
# Trades,1062.0
Win Rate [%],48.30508474576271
Best Trade [%],5.587668593448947
Worst Trade [%],-4.055299539170498
Avg. Trade [%],0.262300693837747
Max. Trade Duration,146.0
Avg. Trade Duration,9.479284369114877
Profit Factor,2.2540468217525103
Expectancy [%],0.2669496357205534
SQN,8.19216111734572
Kelly Criterion,0.14132504933481926
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
50273  1.000000e+05     0.000000               NaN
50274  1.000000e+05     0.000000               NaN
50275  1.000000e+05     0.000000               NaN
50276  1.000000e+05     0.000000               NaN
50277  1.000000e+05     0.000000               NaN
...             ...          ...               ...
62829  1.615040e+06     0.016088               NaN
62830  1.615040e+06     0.016088               NaN
62831  1.615040e+06     0.016088               NaN
62832  1.615040e+06     0.016088               NaN
62833  1.615040e+06     0.016088              37.0

[12561 rows x 3 columns]"
_trades,"        Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0       8992        32       33       11.12   11.12000  10.87727  None   
1      -8992        33       56       11.12   10.93000  11.15336  None   
2       9305        56       57       10.93   10.93000  10.88724  None   
3      -9305        57      124       10.93   10.89000  10.96279  None   
4       9373       124      145       10.89   10.89000  10.84736  None   
...      ...       ...      ...         ...        ...       ...   ...   
1057  130507     12282    12293       12.05   12.10000  12.01385  None   
1058 -130507     12293    12434       12.10   11.97000  12.13630  None   
1059  133342     12434    12446       11.97   12.11000  11.93409  None   
1060 -133342     12446    12524       12.11   11.99000  12.14633  None   
1061  136011     12524    12524       11.99   11.87427       NaN  None   

              PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0         0.00000   0.000000      50305     50306         1  None  
1      1708.48000   0.017086      50306     50329        23  None  
2         0.00000   0.000000      50329     50330         1  None  
3       372.20000   0.003660      50330     50397        67  None  
4         0.00000   0.000000      50397     50418        21  None  
...           ...        ...        ...       ...       ...   ...  
1057   6525.35000   0.004149      62555     62566        11  None  
1058  16965.91000   0.010744      62566     62707       141  None  
1059  18667.88000   0.011696      62707     62719        12  None  
1060  16001.04000   0.009909      62719     62797        78  None  
1061 -15740.55303  -0.009652      62797     62797         0  None  

[1062 rows x 13 columns]"
