,0
Start,0.0
End,125663.0
Duration,125663.0
Exposure Time [%],2.5122549019607843
Equity Final [$],100721.80129000002
Equity Peak [$],106430.64685999992
Return [%],0.7218012900000176
Buy & Hold Return [%],154.68940718503612
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],-1.9089179647222636
Beta,0.017006460252158517
Max. Drawdown [%],-9.994577955975625
Avg. Drawdown [%],-2.2887297407750617
Max. Drawdown Duration,124381.0
Avg. Drawdown Duration,11421.90909090909
# Trades,163.0
Win Rate [%],23.92638036809816
Best Trade [%],10.810208047917925
Worst Trade [%],-2.1943916641127825
Avg. Trade [%],0.004383060632995317
Max. Trade Duration,694.0
Avg. Trade Duration,18.76073619631902
Profit Factor,1.046028969056274
Expectancy [%],0.012243206442197544
SQN,0.04681312426195566
Kelly Criterion,-0.052534443650135876
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"              Equity  DrawdownPct  DrawdownDuration
0       100000.00000     0.000000               NaN
1       100000.00000     0.000000               NaN
2        99996.71000     0.000033               NaN
3       100273.07000     0.000000               2.0
4       100269.78000     0.000033               NaN
...              ...          ...               ...
125659  100721.80129     0.053639               NaN
125660  100721.80129     0.053639               NaN
125661  100721.80129     0.053639               NaN
125662  100721.80129     0.053639               NaN
125663  100721.80129     0.053639          124381.0

[125664 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice         SL    TP  \
0     329         2        6      303.16  302.24055        NaN  None   
1     329         7        7      303.00  302.09100        NaN  None   
2     326         8        8      304.00  303.07803        NaN  None   
3     326         9        9      303.87  303.08800        NaN  None   
4     326        10       10      303.01  303.01000        NaN  None   
..    ...       ...      ...         ...        ...        ...   ...   
158  -284      3153     3161      355.60  356.66680        NaN  None   
159   279      3244     3245      359.99  359.31000  357.92300  None   
160  -279      3245     3258      359.31  358.50000  361.06997  None   
161   281      3258     3259      358.50  358.97000  355.02173  None   
162  -281      3259     3259      358.97  359.57550        NaN  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0   -302.49905  -0.003033          2         6         4  None  
1   -299.06100  -0.003000          7         7         0  None  
2   -300.56222  -0.003033          8         8         0  None  
3   -254.93200  -0.002573          9         9         0  None  
4      0.00000   0.000000         10        10         0  None  
..         ...        ...        ...       ...       ...   ...  
158 -302.97120  -0.003000       3153      3161         8  None  
159 -189.72000  -0.001889       3244      3245         1  None  
160  225.99000   0.002254       3245      3258        13  None  
161  132.07000   0.001311       3258      3259         1  None  
162 -170.14550  -0.001687       3259      3259         0  None  

[163 rows x 13 columns]"
