,0
Start,12680.0
End,15842.0
Duration,3162.0
Exposure Time [%],94.43566234587418
Equity Final [$],287351.78793999995
Equity Peak [$],331588.51966
Return [%],187.35178793999995
Buy & Hold Return [%],-21.242060691601974
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],192.18415442724626
Beta,0.22749047549594725
Max. Drawdown [%],-13.340851415893084
Avg. Drawdown [%],-2.189760492350468
Max. Drawdown Duration,1720.0
Avg. Drawdown Duration,114.91666666666667
# Trades,184.0
Win Rate [%],37.5
Best Trade [%],12.68817204301076
Worst Trade [%],-9.991532599491947
Avg. Trade [%],0.5753328133448532
Max. Trade Duration,583.0
Avg. Trade Duration,15.798913043478262
Profit Factor,2.5663960292464103
Expectancy [%],0.6075327891723677
SQN,2.559222016857889
Kelly Criterion,0.11170646600820461
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
12680  100000.00000     0.000000               NaN
12681  100000.00000     0.000000               NaN
12682  100000.00000     0.000000               NaN
12683  100000.00000     0.000000               NaN
12684  100000.00000     0.000000               NaN
...             ...          ...               ...
15838  287351.78794     0.133409               NaN
15839  287351.78794     0.133409               NaN
15840  287351.78794     0.133409               NaN
15841  287351.78794     0.133409               NaN
15842  287351.78794     0.133409            1720.0

[3163 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0     7057         2        5       14.17    13.6300       NaN  None   
1     7057         6       12       13.63    13.8300  13.58911  None   
2    -7057        12       13       13.83    13.7900  13.87149  None   
3     7098        13       27       13.79    13.9700  13.74863  None   
4    -7098        27       28       13.97    13.9700  14.01191  None   
..     ...       ...      ...         ...        ...       ...   ...   
179  25623      2693     2706       11.70    11.5400       NaN  None   
180  25623      2707     2821       11.54    11.5000       NaN  None   
181  25623      2822     2922       11.50    11.4655       NaN  None   
182  25748      2923     3122       11.41    11.2600       NaN  None   
183  25748      3123     3158       11.26    11.1600       NaN  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0   -3810.7800  -0.038109      12682     12685         3  None  
1    1411.4000   0.014674      12686     12692         6  None  
2     282.2800   0.002892      12692     12693         1  None  
3    1277.6400   0.013053      12693     12707        14  None  
4      -0.0000  -0.000000      12707     12708         1  None  
..         ...        ...        ...       ...       ...   ...  
179 -4099.6800  -0.013675      15373     15386        13  None  
180 -1024.9200  -0.003466      15387     15501       114  None  
181  -883.9935  -0.003000      15502     15602       100  None  
182 -3862.2000  -0.013146      15603     15802       199  None  
183 -2574.8000  -0.008881      15803     15838        35  None  

[184 rows x 13 columns]"
