,0
Start,0.0
End,1250.0
Duration,1250.0
Exposure Time [%],99.04076738609112
Equity Final [$],103277.37166999992
Equity Peak [$],104598.57166999993
Return [%],3.2773716699999205
Buy & Hold Return [%],-11.338289962825284
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],13.026219526349585
Beta,0.8598164174944454
Max. Drawdown [%],-11.493732046467287
Avg. Drawdown [%],-4.373844792386829
Max. Drawdown Duration,549.0
Avg. Drawdown Duration,165.71428571428572
# Trades,145.0
Win Rate [%],34.48275862068966
Best Trade [%],5.508474576271194
Worst Trade [%],-6.8901303538175025
Avg. Trade [%],0.022244134954174655
Max. Trade Duration,34.0
Avg. Trade Duration,8.172413793103448
Profit Factor,1.0720970384927466
Expectancy [%],0.03830163951563261
SQN,0.15774283463536032
Kelly Criterion,-0.247471342230018
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"            Equity  DrawdownPct  DrawdownDuration
0     100000.00000     0.000000               NaN
1     100000.00000     0.000000               NaN
2     100000.00000     0.000000               NaN
3     100000.00000     0.000000               NaN
4     100000.00000     0.000000               NaN
...            ...          ...               ...
1246  103277.37167     0.012631               NaN
1247  103277.37167     0.012631               NaN
1248  103277.37167     0.012631               NaN
1249  103277.37167     0.012631               NaN
1250  103277.37167     0.012631             169.0

[1251 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice  ExitPrice       SL    TP      PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag
0    18587         2       11        5.38       5.39  5.36386  None   185.87   0.001859          2        11         9  None
1   -18587        11       13        5.39       5.39  5.40617  None    -0.00  -0.000000         11        13         2  None
2    18587        13       16        5.39       5.30      NaN  None -1672.83  -0.016698         13        16         3  None
3    18587        17       27        5.30       5.28      NaN  None  -371.74  -0.003774         17        27        10  None
4    18587        28       50        5.28       5.30  5.26416  None   371.74   0.003788         28        50        22  None
..     ...       ...      ...         ...        ...      ...   ...      ...        ...        ...       ...       ...   ...
140  21742      1215     1226        4.69       4.77  4.67593  None  1739.36   0.017058       1215      1226        11  None
141 -21742      1226     1227        4.77       4.77  4.78431  None    -0.00  -0.000000       1226      1227         1  None
142  21742      1227     1236        4.77       4.73      NaN  None  -869.68  -0.008386       1227      1236         9  None
143  21742      1237     1243        4.73       4.76  4.71581  None   652.26   0.006342       1237      1243         6  None
144 -21742      1243     1247        4.76       4.77  4.77428  None  -217.42  -0.002101       1243      1247         4  None

[145 rows x 13 columns]"
