,0
Start,50273.0
End,62833.0
Duration,12560.0
Exposure Time [%],89.52312713955895
Equity Final [$],1250786.7246800014
Equity Peak [$],1250786.7246800014
Return [%],1150.7867246800015
Buy & Hold Return [%],9.369202226345081
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],1146.6294475338514
Beta,0.4437173033217581
Max. Drawdown [%],-8.694201301751958
Avg. Drawdown [%],-1.1488425714571588
Max. Drawdown Duration,603.0
Avg. Drawdown Duration,58.22699386503067
# Trades,1287.0
Win Rate [%],45.53224553224553
Best Trade [%],5.587668593448947
Worst Trade [%],-4.055299539170498
Avg. Trade [%],0.1964947247163673
Max. Trade Duration,141.0
Avg. Trade Duration,8.456099456099457
Profit Factor,1.9197409774238334
Expectancy [%],0.20077610438596594
SQN,7.762086762565586
Kelly Criterion,0.05173591701027391
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
50273  1.000000e+05          0.0               NaN
50274  1.000000e+05          0.0               NaN
50275  1.000000e+05          0.0               NaN
50276  1.000000e+05          0.0               NaN
50277  1.000000e+05          0.0               NaN
...             ...          ...               ...
62829  1.250787e+06          0.0               NaN
62830  1.250787e+06          0.0               NaN
62831  1.250787e+06          0.0               NaN
62832  1.250787e+06          0.0               NaN
62833  1.250787e+06          0.0               NaN

[12561 rows x 3 columns]"
_trades,"        Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0       9191        23       29       10.88   10.91000  10.84736  None   
1      -9191        29       30       10.91   11.13000       NaN  None   
2       8835        32       33       11.12   11.12000  10.87727  None   
3      -8835        33       35       11.12   10.93000  11.15336  None   
4       9142        35       38       10.93   10.94000  10.89721  None   
...      ...       ...      ...         ...        ...       ...   ...   
1282 -103085     12480    12490       11.96   12.00000       NaN  None   
1283  102484     12524    12524       11.99   11.87427       NaN  None   
1284  102520     12525    12536       11.87   11.83000       NaN  None   
1285  102607     12537    12540       11.82   11.99000  11.78454  None   
1286 -102607     12540    12553       11.99   11.79000  12.02597  None   

              PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0       275.73000   0.002757      50296     50302         6  None  
1     -2022.02000  -0.020165      50302     50303         1  None  
2         0.00000   0.000000      50305     50306         1  None  
3      1678.65000   0.017086      50306     50308         2  None  
4        91.42000   0.000915      50308     50311         3  None  
...           ...        ...        ...       ...       ...   ...  
1282  -4123.40000  -0.003344      62753     62763        10  None  
1283 -11860.47332  -0.009652      62797     62797         0  None  
1284  -4100.80000  -0.003370      62798     62809        11  None  
1285  17443.19000   0.014382      62810     62813         3  None  
1286  20521.40000   0.016681      62813     62826        13  None  

[1287 rows x 13 columns]"
