,0
Start,12680.0
End,15842.0
Duration,3162.0
Exposure Time [%],94.90989566866898
Equity Final [$],319835.03346000024
Equity Peak [$],352288.33183999994
Return [%],219.83503346000023
Buy & Hold Return [%],-21.242060691601974
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],228.0808753823163
Beta,0.38818465129308516
Max. Drawdown [%],-12.923112285178572
Avg. Drawdown [%],-2.427659794602152
Max. Drawdown Duration,1720.0
Avg. Drawdown Duration,190.66666666666666
# Trades,339.0
Win Rate [%],36.57817109144543
Best Trade [%],12.44635193133048
Worst Trade [%],-7.651715039577834
Avg. Trade [%],0.3435612750508188
Max. Trade Duration,63.0
Avg. Trade Duration,8.501474926253687
Profit Factor,2.328576189858928
Expectancy [%],0.3624150404109491
SQN,2.757923670358567
Kelly Criterion,0.0183796394769295
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
12680  100000.00000     0.000000               NaN
12681  100000.00000     0.000000               NaN
12682  100000.00000     0.000000               NaN
12683  100000.00000     0.000000               NaN
12684  100000.00000     0.000000               NaN
...             ...          ...               ...
15838  319835.03346     0.092121               NaN
15839  319835.03346     0.092121               NaN
15840  319835.03346     0.092121               NaN
15841  319835.03346     0.092121               NaN
15842  319835.03346     0.092121            1720.0

[3163 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP      PnL  \
0     7336         6       12       13.63      13.83  13.58911  None  1467.20   
1    -7336        12       15       13.83      13.79  13.87149  None   293.44   
2     7379        15       27       13.79      13.97  13.74863  None  1328.22   
3    -7379        27       30       13.97      13.97  14.01191  None    -0.00   
4     7379        30       39       13.97      14.00  13.92809  None   221.37   
..     ...       ...      ...         ...        ...       ...   ...      ...   
334  28659      3111     3122       11.40      11.26       NaN  None -4012.26   
335  28659      3127     3135       11.26      11.46  11.22622  None  5731.80   
336 -28659      3135     3138       11.46      11.46  11.49438  None    -0.00   
337  28659      3138     3146       11.46      11.25       NaN  None -6018.39   
338  28659      3147     3158       11.25      11.16       NaN  None -2579.31   

     ReturnPct  EntryTime  ExitTime  Duration   Tag  
0     0.014674      12686     12692         6  None  
1     0.002892      12692     12695         3  None  
2     0.013053      12695     12707        12  None  
3    -0.000000      12707     12710         3  None  
4     0.002147      12710     12719         9  None  
..         ...        ...       ...       ...   ...  
334  -0.012281      15791     15802        11  None  
335   0.017762      15807     15815         8  None  
336  -0.000000      15815     15818         3  None  
337  -0.018325      15818     15826         8  None  
338  -0.008000      15827     15838        11  None  

[339 rows x 13 columns]"
