,0
Start,0.0
End,27885.0
Duration,27885.0
Exposure Time [%],4.851897009251954
Equity Final [$],232017.55864000026
Equity Peak [$],232821.9468400002
Return [%],132.01755864000026
Buy & Hold Return [%],171.50595882990248
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],130.0562444710518
Beta,0.011435836878960397
Max. Drawdown [%],-2.0642496354028705
Avg. Drawdown [%],-0.5673016931744276
Max. Drawdown Duration,25761.0
Avg. Drawdown Duration,499.4909090909091
# Trades,203.0
Win Rate [%],46.30541871921182
Best Trade [%],9.024833434282243
Worst Trade [%],-0.9708737864077666
Avg. Trade [%],0.4154897970067406
Max. Trade Duration,44.0
Avg. Trade Duration,6.300492610837439
Profit Factor,4.419061821691599
Expectancy [%],0.42166967536252603
SQN,5.431248814781789
Kelly Criterion,0.30528606904901157
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
0      100000.00000     0.000000               NaN
1      100000.00000     0.000000               NaN
2      100000.00000     0.000000               NaN
3      100000.00000     0.000000               NaN
4      100162.51000     0.000000               NaN
...             ...          ...               ...
27881  232017.55864     0.003455               NaN
27882  232017.55864     0.003455               NaN
27883  232017.55864     0.003455               NaN
27884  232017.55864     0.003455               NaN
27885  232017.55864     0.003455           25761.0

[27886 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0     5417         2        8       18.46   18.63000  18.40462  None   
1    -5417         8       11       18.63   18.63000  18.68589  None   
2     5417        11       14       18.63   18.57411       NaN  None   
3     5441        15       16       18.49   18.43453       NaN  None   
4     5487        17       25       18.28   18.22516       NaN  None   
..     ...       ...      ...         ...        ...       ...   ...   
198  10344      2079     2083       22.12   22.05364       NaN  None   
199  10503      2085     2089       21.72   22.04000  21.65484  None   
200 -10503      2089     2089       22.04   22.10612       NaN  None   
201  10626      2114     2119       21.72   21.90000  21.65484  None   
202 -10626      2119     2129       21.90   21.96570       NaN  None   

            PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0     920.89000   0.009209          2         8         6  None  
1      -0.00000  -0.000000          8        11         3  None  
2    -302.75613  -0.003000         11        14         3  None  
3    -301.81227  -0.003000         15        16         1  None  
4    -300.90708  -0.003000         17        25         8  None  
..          ...        ...        ...       ...       ...   ...  
198  -686.42784  -0.003000       2079      2083         4  None  
199  3360.96000   0.014733       2085      2089         4  None  
200  -694.45836  -0.003000       2089      2089         0  None  
201  1912.68000   0.008287       2114      2119         5  None  
202  -698.12820  -0.003000       2119      2129        10  None  

[203 rows x 13 columns]"
