,0
Start,126750.0
End,158430.0
Duration,31680.0
Exposure Time [%],81.89766737161075
Equity Final [$],281704.1346299997
Equity Peak [$],283807.7588099996
Return [%],181.70413462999971
Buy & Hold Return [%],77.13288239144667
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],148.19408190090007
Beta,0.4344457472629804
Max. Drawdown [%],-4.530420267377844
Avg. Drawdown [%],-0.7564181847592958
Max. Drawdown Duration,5675.0
Avg. Drawdown Duration,151.05940594059405
# Trades,585.0
Win Rate [%],33.33333333333333
Best Trade [%],19.6247892074199
Worst Trade [%],-1.3445761166818726
Avg. Trade [%],0.1772112382775859
Max. Trade Duration,7678.0
Avg. Trade Duration,43.837606837606835
Profit Factor,2.0772956981579895
Expectancy [%],0.18375970909755532
SQN,3.1640753598635407
Kelly Criterion,0.13691700580305916
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"              Equity  DrawdownPct  DrawdownDuration
126750  100000.00000     0.000000               NaN
126751  100000.00000     0.000000               NaN
126752  100000.00000     0.000000               NaN
126753  100152.67000     0.000000               NaN
126754  100152.67000     0.000000               NaN
...              ...          ...               ...
158426  281704.13463     0.007412               NaN
158427  281704.13463     0.007412               NaN
158428  281704.13463     0.007412               NaN
158429  281704.13463     0.007412               NaN
158430  281704.13463     0.007412            5675.0

[31681 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0    2181         2       50       45.83   45.69251       NaN  None   
1    2174        51       70       45.86   45.72242       NaN  None   
2    2176        71       81       45.66   45.52302       NaN  None   
3    2160        82       95       45.87   45.73239       NaN  None   
4    2166        96      108       45.61   45.47317       NaN  None   
..    ...       ...      ...         ...        ...       ...   ...   
580 -5001     26006    26010       56.75   56.92025       NaN  None   
581  4974     26051    26065       56.88   56.91000  56.70936  None   
582 -4974     26065    26071       56.91   57.08073       NaN  None   
583  4923     26126    26129       57.33   57.39000  57.15801  None   
584 -4923     26129    26129       57.39   57.56217       NaN  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0   -299.86569  -0.003000     126752    126800        48  None  
1   -299.09892  -0.003000     126801    126820        19  None  
2   -298.06848  -0.003000     126821    126831        10  None  
3   -297.23760  -0.003000     126832    126845        13  None  
4   -296.37378  -0.003000     126846    126858        12  None  
..         ...        ...        ...       ...       ...   ...  
580 -851.42025  -0.003000     152756    152760         4  None  
581  149.22000   0.000527     152801    152815        14  None  
582 -849.21102  -0.003000     152815    152821         6  None  
583  295.38000   0.001047     152876    152879         3  None  
584 -847.59291  -0.003000     152879    152879         0  None  

[585 rows x 13 columns]"
