,0
Start,0.0
End,1250.0
Duration,1250.0
Exposure Time [%],78.25739408473221
Equity Final [$],91106.43811999999
Equity Peak [$],101496.88368000001
Return [%],-8.893561880000009
Buy & Hold Return [%],-11.338289962825284
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],2.338263003001021
Beta,0.9906101290253363
Max. Drawdown [%],-14.565191584215164
Avg. Drawdown [%],-4.537957567488061
Max. Drawdown Duration,825.0
Avg. Drawdown Duration,193.83333333333334
# Trades,37.0
Win Rate [%],13.513513513513514
Best Trade [%],5.508474576271194
Worst Trade [%],-4.627766599597571
Avg. Trade [%],-0.38456609020901533
Max. Trade Duration,147.0
Avg. Trade Duration,25.72972972972973
Profit Factor,0.5979404444361515
Expectancy [%],-0.36180228841459483
SQN,-1.099322675009962
Kelly Criterion,-0.1435655458847706
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"            Equity  DrawdownPct  DrawdownDuration
0     100000.00000     0.000000               NaN
1     100000.00000     0.000000               NaN
2     100000.00000     0.000000               NaN
3     100000.00000     0.000000               NaN
4     100000.00000     0.000000               NaN
...            ...          ...               ...
1246   91106.43812     0.102372               NaN
1247   91106.43812     0.102372               NaN
1248   91106.43812     0.102372               NaN
1249   91106.43812     0.102372               NaN
1250   91106.43812     0.102372             825.0

[1251 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice       SL    TP         PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag
0   18587         2       16        5.38    5.30000      NaN  None -1486.96000  -0.014870          2        16        14  None
1   18587        17       27        5.30    5.28000      NaN  None  -371.74000  -0.003774         17        27        10  None
2   18587        28      111        5.28    5.26000      NaN  None  -371.74000  -0.003788         28       111        83  None
3   18587       112      259        5.26    5.24000      NaN  None  -371.74000  -0.003802        112       259       147  None
4   18587       260      339        5.24    5.22000      NaN  None  -371.74000  -0.003817        260       339        79  None
5   18587       340      363        5.22    5.19000      NaN  None  -557.61000  -0.005747        340       363        23  None
6   18587       364      376        5.19    5.14000      NaN  None  -929.35000  -0.009634        364       376        12  None
7   18587       377      388        5.14    5.12000      NaN  None  -371.74000  -0.003891        377       388        11  None
8   18587       389      390        5.12    5.10464      NaN  None  -285.49632  -0.003000        389       390         1  None
9   18900       391      426        5.02    5.00000      NaN  None  -378.00000  -0.003984        391       426        35  None
10  18900       427      450        5.00    4.97000      NaN  None  -567.00000  -0.006000        427       450        23  None
11  18900       451      494        4.97    4.94000      NaN  None  -567.00000  -0.006036        451       494        43  None
12  18900       495      506        4.94    4.89000      NaN  None  -945.00000  -0.010121        495       506        11  None
13  18900       507      518        4.89    4.87533      NaN  None  -277.26300  -0.003000        507       518        11  None
14  19078       519      544        4.83    4.92000  4.81551  None  1717.02000   0.018634        519       544        25  None
15 -19078       544      545        4.92    4.92000  4.93476  None    -0.00000  -0.000000        544       545         1  None
16  19078       545      555        4.92    4.89000      NaN  None  -572.34000  -0.006098        545       555        10  None
17  19078       556      622        4.89    4.84000      NaN  None  -953.90000  -0.010225        556       622        66  None
18  19078       623      630        4.84    4.82548      NaN  None  -277.01256  -0.003000        623       630         7  None
19  19099       631      644        4.82    4.80000      NaN  None  -381.98000  -0.004149        631       644        13  None
20  19099       645      657        4.80    4.95000  4.78560  None  2864.85000   0.031250        645       657        12  None
21 -19099       657      658        4.95    4.95000  4.96485  None    -0.00000  -0.000000        657       658         1  None
22  19099       658      674        4.95    4.79000      NaN  None -3055.84000  -0.032323        658       674        16  None
23  19099       675      792        4.79    4.76000      NaN  None  -572.97000  -0.006263        675       792       117  None
24  19099       793      805        4.76    4.97000  4.74572  None  4010.79000   0.044118        793       805        12  None
25 -19099       805      806        4.97    4.97000  4.98491  None    -0.00000  -0.000000        805       806         1  None
26  19099       806      815        4.97    4.74000      NaN  None -4392.77000  -0.046278        806       815         9  None
27  19099       816      827        4.74    4.72000      NaN  None  -381.98000  -0.004219        816       827        11  None
28  19099       828      841        4.72    4.98000  4.70584  None  4965.74000   0.055085        828       841        13  None
29 -19099       841      842        4.98    4.98000  4.99494  None    -0.00000  -0.000000        841       842         1  None
30  19099       842      851        4.98    4.91000      NaN  None -1336.93000  -0.014056        842       851         9  None
31  19099       852      862        4.91    4.73000      NaN  None -3437.82000  -0.036660        852       862        10  None
32  19099       863      873        4.73    4.60000      NaN  None -2482.87000  -0.027484        863       873        10  None
33  19099       874      934        4.60    4.83000  4.58620  None  4392.77000   0.050000        874       934        60  None
34 -19099       934      935        4.83    4.83000  4.84449  None    -0.00000  -0.000000        934       935         1  None
35  19099       935      944        4.83    4.61000      NaN  None -4201.78000  -0.045549        935       944         9  None
36  19099       945      980        4.61    4.54000      NaN  None -1336.93000  -0.015184        945       980        35  None"
