,0
Start,50273.0
End,62833.0
Duration,12560.0
Exposure Time [%],61.0540562057161
Equity Final [$],105612.87592999995
Equity Peak [$],113405.46592999996
Return [%],5.6128759299999516
Buy & Hold Return [%],9.369202226345081
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],-3.512707680403203
Beta,0.9739979338628321
Max. Drawdown [%],-14.319700013244063
Avg. Drawdown [%],-1.8247880057746684
Max. Drawdown Duration,8815.0
Avg. Drawdown Duration,378.15625
# Trades,23.0
Win Rate [%],8.695652173913043
Best Trade [%],8.508508508508505
Worst Trade [%],-5.200729927007297
Avg. Trade [%],-0.3116324743268062
Max. Trade Duration,3033.0
Avg. Trade Duration,332.5652173913044
Profit Factor,0.6869634940879867
Expectancy [%],-0.27927678739014805
SQN,-0.5920398969616263
Kelly Criterion,-0.06116810364121236
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
50273  100000.00000     0.000000               NaN
50274  100000.00000     0.000000               NaN
50275  100000.00000     0.000000               NaN
50276  100000.00000     0.000000               NaN
50277  101113.12000     0.000000               NaN
...             ...          ...               ...
62829  105612.87593     0.068714               NaN
62830  105612.87593     0.068714               NaN
62831  105612.87593     0.068714               NaN
62832  105612.87593     0.068714               NaN
62833  105612.87593     0.068714            1363.0

[12561 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP  \
0   9276         2      400       10.78   10.72000       NaN  None   
1   9207       401      973       10.80   10.54000       NaN  None   
2   9216       974      977       10.53   10.50000       NaN  None   
3   9225       978     2020       10.49   10.46850       NaN  None   
4   9286      2021     2275       10.40   10.31000       NaN  None   
5   9295      2276     2284       10.30   10.20000       NaN  None   
6   9295      2285     2288       10.20   10.16000       NaN  None   
7   9213      2289     2504       10.25   10.00000       NaN  None   
8   9213      2505     2534       10.00    9.81000       NaN  None   
9   9213      2535     2546        9.81    9.78000       NaN  None   
10  9251      2547     2602        9.74    9.69000       NaN  None   
11  9251      2603     3116        9.69    9.66093       NaN  None   
12  8946      3117     6150        9.99   10.84000   9.46153  None   
13 -8946      6150     6154       10.84   10.89000       NaN  None   
14  8864      6159     6176       10.89   10.64000       NaN  None   
15  8864      6177     7645       10.64   10.60000       NaN  None   
16  8872      7646     7648       10.59   10.55000       NaN  None   
17  8881      7649     7650       10.54   10.51000       NaN  None   
18  8923      7651     7651       10.46   10.46000       NaN  None   
19  8940      7652     7653       10.44   10.40000       NaN  None   
20  8957      7654     7668       10.38   10.96000  10.36880  None   
21 -8957      7668     7672       10.96   10.96000  10.99288  None   
22  8957      7672     7674       10.96   10.39000       NaN  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0   -556.56000  -0.005566      50275     50673       398  None  
1  -2393.82000  -0.024074      50674     51246       572  None  
2   -276.48000  -0.002849      51247     51250         3  None  
3   -198.33750  -0.002050      51251     52293      1042  None  
4   -835.74000  -0.008654      52294     52548       254  None  
5   -929.50000  -0.009709      52549     52557         8  None  
6   -371.80000  -0.003922      52558     52561         3  None  
7  -2303.25000  -0.024390      52562     52777       215  None  
8  -1750.47000  -0.019000      52778     52807        29  None  
9   -276.39000  -0.003058      52808     52819        11  None  
10  -462.55000  -0.005133      52820     52875        55  None  
11  -268.92657  -0.003000      52876     53389       513  None  
12  7604.10000   0.085085      53390     56423      3033  None  
13  -447.30000  -0.004613      56423     56427         4  None  
14 -2216.00000  -0.022957      56432     56449        17  None  
15  -354.56000  -0.003759      56450     57918      1468  None  
16  -354.88000  -0.003777      57919     57921         2  None  
17  -266.43000  -0.002846      57922     57923         1  None  
18     0.00000   0.000000      57924     57924         0  None  
19  -357.60000  -0.003831      57925     57926         1  None  
20  5195.06000   0.055877      57927     57941        14  None  
21    -0.00000  -0.000000      57941     57945         4  None  
22 -5105.49000  -0.052007      57945     57947         2  None  "
