,0
Start,12680.0
End,15842.0
Duration,3162.0
Exposure Time [%],96.58552007587733
Equity Final [$],190467.48944999994
Equity Peak [$],209701.80253999998
Return [%],90.46748944999993
Buy & Hold Return [%],-21.242060691601974
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],102.26902542988084
Beta,0.5555739695512044
Max. Drawdown [%],-13.496998258255811
Avg. Drawdown [%],-3.6424969406042
Max. Drawdown Duration,1626.0
Avg. Drawdown Duration,162.5
# Trades,93.0
Win Rate [%],22.58064516129032
Best Trade [%],15.333822450476898
Worst Trade [%],-6.46651270207852
Avg. Trade [%],0.6952295125383978
Max. Trade Duration,518.0
Avg. Trade Duration,32.18279569892473
Profit Factor,2.4708433684326216
Expectancy [%],0.7543756219715653
SQN,1.8424513894751806
Kelly Criterion,0.10154523058336005
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
12680  100000.00000     0.000000               NaN
12681  100000.00000     0.000000               NaN
12682  100000.00000     0.000000               NaN
12683  100000.00000     0.000000               NaN
12684  100000.00000     0.000000               NaN
...             ...          ...               ...
15838  190467.48945     0.091722               NaN
15839  190467.48945     0.091722               NaN
15840  190467.48945     0.091722               NaN
15841  190467.48945     0.091722               NaN
15842  190467.48945     0.091722            1626.0

[3163 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP       PnL  \
0    7057         2        5       14.17      13.63       NaN  None  -3810.78   
1    7057         6      160       13.63      15.72  13.58911  None  14749.13   
2   -7057       160      172       15.72      14.08  15.76716  None  11573.48   
3    8701       172      183       14.08      13.90       NaN  None  -1566.18   
4    8701       184      342       13.90      15.29  13.85830  None  12094.39   
..    ...       ...      ...         ...        ...       ...   ...       ...   
88  17066      3111     3122       11.40      11.26       NaN  None  -2389.24   
89  17066      3123     3135       11.26      11.46  11.22622  None   3413.20   
90 -17066      3135     3137       11.46      11.46  11.49438  None     -0.00   
91  17066      3137     3146       11.46      11.25       NaN  None  -3583.86   
92  17066      3147     3158       11.25      11.16       NaN  None  -1535.94   

    ReturnPct  EntryTime  ExitTime  Duration   Tag  
0   -0.038109      12682     12685         3  None  
1    0.153338      12686     12840       154  None  
2    0.104326      12840     12852        12  None  
3   -0.012784      12852     12863        11  None  
4    0.100000      12864     13022       158  None  
..        ...        ...       ...       ...   ...  
88  -0.012281      15791     15802        11  None  
89   0.017762      15803     15815        12  None  
90  -0.000000      15815     15817         2  None  
91  -0.018325      15817     15826         9  None  
92  -0.008000      15827     15838        11  None  

[93 rows x 13 columns]"
