,0
Start,0.0
End,2782.0
Duration,2782.0
Exposure Time [%],61.40855192238591
Equity Final [$],131731.79568
Equity Peak [$],134439.23568
Return [%],31.73179568000001
Buy & Hold Return [%],-0.7037297677691866
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],31.93566767486446
Beta,0.2897021047023818
Max. Drawdown [%],-5.196397340593584
Avg. Drawdown [%],-2.2255277282272847
Max. Drawdown Duration,1070.0
Avg. Drawdown Duration,333.0
# Trades,14.0
Win Rate [%],14.285714285714285
Best Trade [%],18.537666174298394
Worst Trade [%],-0.6355932203389814
Avg. Trade [%],1.762919871285229
Max. Trade Duration,1245.0
Avg. Trade Duration,121.21428571428571
Profit Factor,7.022037342906794
Expectancy [%],1.9103236508177375
SQN,1.211721691228057
Kelly Criterion,0.12131899156121062
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"            Equity  DrawdownPct  DrawdownDuration
0     100000.00000     0.000000               NaN
1     100000.00000     0.000000               NaN
2     100000.00000     0.000000               NaN
3     100000.00000     0.000000               NaN
4     100000.00000     0.000000               NaN
...            ...          ...               ...
2778  131731.79568     0.020139               NaN
2779  131731.79568     0.020139               NaN
2780  131731.79568     0.020139               NaN
2781  131731.79568     0.020139               NaN
2782  131731.79568     0.020139             486.0

[2783 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP          PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag
0   7037         2       23       14.21   14.16000       NaN  None   -351.85000  -0.003519          2        23        21  None
1   7037        24       47       14.16   14.07000       NaN  None   -633.33000  -0.006356         24        47        23  None
2   7037        48      203       14.07   14.02779       NaN  None   -297.03177  -0.003000         48       203       155  None
3   7041       204      217       14.02   13.95000       NaN  None   -492.87000  -0.004993        204       217        13  None
4   7107       218      227       13.82   13.77854       NaN  None   -294.65622  -0.003000        218       227         9  None
5   7111       228      235       13.77   13.72869       NaN  None   -293.75541  -0.003000        228       235         7  None
6   7126       236      272       13.70   13.65890       NaN  None   -292.87860  -0.003000        236       272        36  None
7   7189       273     1518       13.54   16.05000  13.49938  None  18044.39000   0.185377        273      1518      1245  None
8  -7189      1518     1521       16.05   14.02000  16.09815  None  14593.67000   0.126480       1518      1521         3  None
9   9271      1521     1529       14.02   13.97794       NaN  None   -389.93826  -0.003000       1521      1529         8  None
10  9309      1530     1579       13.92   13.87000       NaN  None   -465.45000  -0.003592       1530      1579        49  None
11  9309      1580     1641       13.87   13.81000       NaN  None   -558.54000  -0.004326       1580      1641        61  None
12  9323      1642     1663       13.79   13.74000       NaN  None   -466.15000  -0.003626       1642      1663        21  None
13  9323      1664     1710       13.74   13.69878       NaN  None   -384.29406  -0.003000       1664      1710        46  None"
